Station abbreviation;Stop name;Line;KM;Line;Geopos;Didok number;OPUIC;Stop name;lod;sloid
ABO;Aarburg-Oftringen;451;43.00505;Aarburg-Oftringen - Rothrist Gleis 1;47.320268469495055, 7.908222606719322;2000;8502000;Aarburg-Oftringen;http://lod.opentransportdata.swiss/didok/didok85;ch:1:sloid:2000
AHAU;Altishausen;831;29.09142;Weinfelden - Tagermoos;47.59648829967649, 9.16237708933304;6199;8506199;Altishausen;http://lod.opentransportdata.swiss/didok/didok85;ch:1:sloid:6199
ALG;Algetshausen-Henau;850;103.23323;St.Gallen - Winterthur Nord;47.44854834568097, 9.109942187774752;6220;8506220;Algetshausen-Henau;http://lod.opentransportdata.swiss/didok/didok85;ch:1:sloid:6220
ALME;Al Motto (c bin);606;160.92853;Al Sasso - Al Motto (binario sinistro);46.14399680106596, 8.949151861285673;15373;8515373;Al Motto Est;http://lod.opentransportdata.swiss/didok/didok85;ch:1:sloid:15373
ALT;Altstatten SG;880;41.17789;Sargans Ost - St.Gallen;47.374234807062635, 9.556519883564428;6319;8506319;Altstätten SG;http://lod.opentransportdata.swiss/didok/didok85;ch:1:sloid:6319
ALTD;Altendorf;720;37.17886;ZH Langstrasse - Thalwil - Ziegelbrucke;47.19396706593207, 8.822905848209773;3211;8503211;Altendorf;http://lod.opentransportdata.swiss/didok/didok85;ch:1:sloid:3211
ARBS;Arbon Seemoosriet;825;88.8155;Romanshorn Feld H - Rorschach;47.52119525824644, 9.425019519186609;16270;8516270;Arbon Seemoosriet;http://lod.opentransportdata.swiss/didok/didok85;ch:1:sloid:16270
ARCY;Archy (bif);168;6.3254;Archy A - Lausanne-Triage Nord;46.5422333878847, 6.5587921121162704;1147;8501147;Archy (bif);http://lod.opentransportdata.swiss/didok/didok85;ch:1:sloid:1147
ASKO;Amsteg Kabelstollen Ost;5002;-0.14456;Amsteg Kabelstollen;46.77514393409789, 8.696919436857625;18490;8518490;Amsteg Kabelstollen Ost;http://lod.opentransportdata.swiss/didok/didok85;ch:1:sloid:18490
ASZO;Amsteg Zugangsstollen Ost;5001;1.99255;Amsteg Zugangsstollen;46.77442642331145, 8.697434399289083;18489;8518489;Amsteg Zugangsstollen Ost;http://lod.opentransportdata.swiss/didok/didok85;ch:1:sloid:18489
AUV;Auvernier;210;70.34416;Daillens - Biel/Bienne;46.97964166884437, 6.8777080441799665;4219;8504219;Auvernier;http://lod.opentransportdata.swiss/didok/didok85;ch:1:sloid:4219
BAER;Barschwil;230;97.5245;Delemont Est - Basel SBB Ost;47.40078666472672, 7.476914155536893;112;8500112;Bärschwil;http://lod.opentransportdata.swiss/didok/didok85;ch:1:sloid:112
BAZM;Bazenheid MICARNA (Abzw);853;6.37866;Wil Sud - Wattwil - Uznach;47.41478506796534, 9.07095131252529;6224;8506224;Bazenheid MICARNA (Abzw);http://lod.opentransportdata.swiss/didok/didok85;ch:1:sloid:6224
BDF;Burgdorf;450;83.3908;Olten Sud - Bern;47.060700726390664, 7.621694473552611;8005;8508005;Burgdorf;http://lod.opentransportdata.swiss/didok/didok85;ch:1:sloid:8005
BDFW;Burgdorf;421;20.45859;Solothurn RM - Burgdorf West;47.06111773246942, 7.616313265792991;15377;8515377;Burgdorf West (Abzw);http://lod.opentransportdata.swiss/didok/didok85;ch:1:sloid:15377
BFG;Rothrist;451;44.86;Aarburg-Oftringen - Rothrist Gleis 1;47.31087016990948, 7.8958579028457425;16022;8516022;Bifang AG (Spw);http://lod.opentransportdata.swiss/didok/didok85;ch:1:sloid:16022
BFG;Rothrist;453;44.86;Rothrist Ost - Rothrist Gleis 4;47.31087016990948, 7.8958579028457425;16022;8516022;Bifang AG (Spw);http://lod.opentransportdata.swiss/didok/didok85;ch:1:sloid:16022
BG;Brugg AG;700;31.27262;Brugg - Pratteln Ost;47.48085983498152, 8.208844553488955;309;8500309;Brugg AG;http://lod.opentransportdata.swiss/didok/didok85;ch:1:sloid:309
BGN;Brugg AG Nord (Abzw);700;32.46007;Brugg - Pratteln Ost;47.4815635562081, 8.197782441936672;341;8500341;Brugg AG Nord (Abzw);http://lod.opentransportdata.swiss/didok/didok85;ch:1:sloid:341
BIHW;Biel/Bienne RB;267;97.196;Biel Produktion Ost - Biel Madretsch;47.141193612021276, 7.2609299029286785;15002;8515002;Biel/Bienne IW;http://lod.opentransportdata.swiss/didok/didok85;ch:1:sloid:15002
