station_abbreviation;stop_name;km;opuic;latitude;longitude
ABO;Aarburg-Oftringen;43.00505;8502000;47.320268469495055;7.908222606719322
AHAU;Altishausen;29.09142;8506199;47.59648829967649;9.16237708933304
ALG;Algetshausen-Henau;103.23323;8506220;47.44854834568097;9.109942187774752
ALME;Al Motto (c bin);160.92853;8515373;46.14399680106596;8.949151861285673
ALT;Altstatten SG;41.17789;8506319;47.374234807062635;9.556519883564428
ALTD;Altendorf;37.17886;8503211;47.19396706593207;8.822905848209773
ARBS;Arbon Seemoosriet;88.8155;8516270;47.52119525824644;9.425019519186609
ARCY;Archy (bif);6.3254;8501147;46.5422333878847;6.5587921121162704
ASKO;Amsteg Kabelstollen Ost;-0.14456;8518490;46.77514393409789;8.696919436857625
ASZO;Amsteg Zugangsstollen Ost;1.99255;8518489;46.77442642331145;8.697434399289083
AUV;Auvernier;70.34416;8504219;46.97964166884437;6.8777080441799665
BAER;Barschwil;97.5245;8500112;47.40078666472672;7.476914155536893
BAZM;Bazenheid MICARNA (Abzw);6.37866;8506224;47.41478506796534;9.07095131252529
BDF;Burgdorf;83.3908;8508005;47.060700726390664;7.621694473552611
BDFW;Burgdorf;20.45859;8515377;47.06111773246942;7.616313265792991
BFG;Rothrist;44.86;8516022;47.31087016990948;7.8958579028457425
BG;Brugg AG;31.27262;8500309;47.48085983498152;8.208844553488955
BGN;Brugg AG Nord (Abzw);32.46007;8500341;47.4815635562081;8.197782441936672
BIHW;Biel/Bienne RB;97.196;8515002;47.141193612021276;7.2609299029286785
BIPO;Biel Produktionsanlage Ost;96.47373;8519667;47.14428172431765;7.269236196666405
BIRW;Biel/Bienne RB;33.43695;8504341;47.138676293014576;7.260997603166892
BIW;Biel/Bienne;104.215;8515308;47.13374569842927;7.239342709106097
BN;Bern;106.15556;8507000;46.94883229049847;7.439130889923934
BNG;Bussnang;16.35061;8506190;47.55608405274382;9.084163066148538
BNHB;Bern;-0.40001;8516765;46.95352213754334;7.438849435642185
BNWD;Bern Wankdorf;102.95;8516161;46.96782576596228;7.4654778008818585
BOCS;Bodio cunicolo di aggira. sud;0.0;8518496;46.37247298202001;8.927696486922585
BONI;Boniswil;32.85;8502032;47.31503873659609;8.184560549260691
BOS;Boswil-Bunzen;77.7545;8502214;47.30518168341717;8.315283587648393
BOZS;Bozberg Zugangsstollen Sud;39.44141;8510214;47.457853457778704;8.128974754024018
BRF;Lupfig;4.41308;8502210;47.44365991517759;8.215744484685569
BRGG;Brunegg;7.0362;8519041;47.42041479790021;8.221690084939624
BRGL;Bruglen (Spw);102.26688;8515542;47.13315226816386;8.449548357527881
BRRB;Brig RB;146.55;8501641;46.32246399082152;8.000387812647455
BRSL;Dietlikon;12.63804;8508299;47.42632988017613;8.635746625795484
BRT;Bretonnieres;35.82299;8501105;46.715055329929;6.474732504265312
BS;Basel SBB;142.20294;8500010;47.54741205505015;7.589562790156526
BSDO;Bassersdorf;15.15283;8508328;47.437709575115356;8.63113963010776
BSDS;Basel SBB Dreispitz;-0.01;8500400;47.526078582662315;7.607213416832926
BSGO;Basel SBB GB;2.18599;8500015;47.542603846653016;7.61574793986772
BSHN;Basel St. Jakob;0.001;8510687;47.54201505745971;7.622449396232879
BSM;Basel Mitte;0.001;8510698;47.56014336631433;7.58675682302725
BSOS;Basel SBB RB;7.02762;8515388;47.52646973787135;7.673819773056598
BSSJ;Basel St. Johann;0.0;8500016;47.570306321253796;7.572529383710242
BSSS;Basel SBB;142.1386;8511070;47.54633713976441;7.588769916136767
BSVL;Basel SBB GB;121.22952;8500047;47.538925609163904;7.61261190506737
BSW;Basel SBB;141.382;8515389;47.546190291975456;7.579567394202976
BUDZ;Burgau Deponie ZAB (Agl);93.21929;8506219;47.4074212675883;9.214845995819019
BUE;Bulach;20.27248;8503400;47.52394992292488;8.53620919890506
BUHA;Buchhalde (Spw);48.09502;8515166;47.49994127271271;8.047338039006181
BWEY;Bern Weyermannshaus GB;2.35059;8519034;46.947319204090924;7.410917215840565
BWY;Bern Wyler;103.36806;8519030;46.966597923328145;7.460285363989357
BX;Buix;121.45023;8500144;47.47933325623299;7.029967263634954
BY;Bussigny;14.92027;8501117;46.547590367464494;6.551826149226752
CABS;Lancy-Bachet;65.409;8518336;46.175377347400655;6.126915066990144
CAMS;Camorino (dira);328.14415;8515978;46.15060841042306;8.987777531576837
CAP;Capolago-Riva S. Vitale;194.61388;8505304;45.902837295752974;8.97890525714865
CASN;Castione Nord (c bin);145.8593;8518908;46.23695509794125;9.035748545382623
CC;Concise;50.752;8504203;46.85088154377158;6.723157409168141
CDO;Cadenazzo;161.12861;8515391;46.154446211629406;8.920517434377995
CHA;Chamoson-St-Pierre-de-Clages;82.12316;8501504;46.188836380745485;7.241099046925848
CHAR;Charrat-Fully;70.8598;8501501;46.126812879357765;7.126476597938984
CHI;Chiasso;206.16614;8505307;45.832168026366816;9.031449562314267
CHIG;Chiggiogna (c bin);109.3837;8505243;46.466539081298166;8.823914388466841
CHN;Chambrelien;10.3982;8504234;46.96710900772342;6.812256765419986
CHNB;Chatelaine (bif);63.96;8510684;46.21706628316441;6.102912652630297
CHNE;Chatelaine (bif);63.7;8501027;46.21712946623201;6.10260396178578
CHS;Cheyres;12.62074;8504131;46.81694583078512;6.786393706697188
CHSM;Chiasso Smistamento;53.36063;8505309;45.83650502173001;8.99907734860974
CHY;Chambesy;56.781;8501020;46.24094485508302;6.147304320702687
CLA;Claro;143.46906;8505211;46.25317807542247;9.017046744780098
CORF;Cornaux industrie;2.0;8516195;47.03063516562637;7.029489071907224
CORN;Cornaux NE;0.0;8504223;47.03857203125885;7.023365662392411
COS;Cossonay-Penthalaz;14.48582;8501115;46.6060100852867;6.523689168142412
COTD;Bole;7.6866;8504339;46.971287901732545;6.845696032304349
CRGD;Creux-de-Genthod;53.80043;8501012;46.26376775842136;6.16131231071575
CRTT;Tunnel des Cretes (diag);22.55;8519440;46.44383741224059;6.888867106397062
CU;Cully;8.52314;8501124;46.48856179169186;6.727151466849018
CVN;La Conversion;4.0037;8504010;46.51308449748618;6.678323596771186
DAG;Dagmersellen;55.8035;8502004;47.21755794081286;7.979025922465623
DAIB;Daillens;19.115;8515319;46.63749808706161;6.5464284818957905
DENA;Denges-Echandens;8.26747;8515322;46.529550788897076;6.541811253692842
DEU;Les Deurres;3.102;8504231;46.98552471175161;6.899148428806808
DKO;Daniken SO;48.11923;8502143;47.35847858355934;7.9835188703755655
DOR;Dornach-Arlesheim;115.45125;8500118;47.48861983603079;7.611118941847514
DOSS;Dossenboden (Spw);65.10639;8500343;47.56277493787845;7.873081766409627
DOTU;Dottikon Umspannanlage;69.53517;8502239;47.36292268190962;8.249181985964887
DTLN;Dietlikon;11.18271;8508289;47.42208696472397;8.620575461134834
EI;Eiken;55.41077;8500304;47.53304427369629;7.989797553151227
EINF;Einfang (Abzw);6.31936;8503510;47.39883260637148;8.46256168850058
EMM;Emmenmatt;34.09164;8508206;46.94815408466332;7.747294833572194
EP;Ependes VD;32.69977;8501110;46.74641611110667;6.607661874433928
ER;Erstfeld;41.5832;8505114;46.82033940886055;8.650454640226307
ERNA;Erstfeld;40.90184;8516699;46.82611327509456;8.647665806227282
ESB;Eschenbach LU;8.567;8502022;47.13239599982784;8.322790731804622
EV;Evionnaz;57.85466;8501404;46.16925438008294;7.0255181527133255
EWW;Etzwilen;31.55627;8515443;47.660565080158065;8.81535642386426
FET;Fehraltorf;8.01575;8503302;47.385122805195785;8.750288115044176
FMUE;Fluhmuhle (Abzw);91.82149;8505043;47.05660071093559;8.286847621357769
FT;Feuerthalen;46.92914;8503425;47.69216947826751;8.645968428863812
GDMF;Goldau Muhlefluh (Verzw);14.54691;8502240;47.058659669413224;8.544314631831519
GDO;Arth-Goldau;38.19952;8515397;47.04866793607637;8.555349223773888
GEPO;Geneve;59.4;8501038;46.217577091092735;6.144365319922167
GEVO;Geneve;59.452;8519692;46.217109993155724;6.144410005910877
GEXI;Gexi;63.88238;8502133;47.3925293559803;8.192641828373958
GEXO;Gexi;30.01033;8515401;47.39289627210012;8.195238374374789
GIOC;Giornico (c bin);121.12164;8505245;46.406979449764926;8.869187641003764
GIUO;Giubiasco;226.16896;8515975;46.16675394328868;8.991275477472364
GLO;Glovelier;30.283;8500123;47.33520951994376;7.209312768167123
GLZB;Glanzenberg;9.5493;8503512;47.39887872505403;8.42044187660217
GM;Granges-Marnand;50.44178;8504122;46.75884492426054;6.8942897289298015
GRAL;Granges-Lens;101.5583;8501508;46.26558044135464;7.458728243759386
GREL;Grellingen;108.94158;8500115;47.441294895239395;7.591988354792369
GUE;Gumligen;113.95844;8507003;46.93432191878642;7.505504796286874
GUES;Gumligen Sud (Abzw);114.71;8515643;46.92994701242424;7.513031567645183
GUN;Guntershausen;120.94994;8506012;47.474121355749475;8.917032104095119
HDKN;Hendschiken;10.81463;8515403;47.39117150136008;8.20552126703547
HEBG;Heerbrugg;47.92854;8506317;47.41039250657927;9.627248828197752
HEDN;Hedingen Nord (Abzw);20.658;8517119;47.30827316240867;8.45002333136733
HEIM;Heimbach (Spw);93.36013;8515732;47.047305738786875;8.299501698835318
HERL;Herrliberg-Feldmeilen;16.61921;8503103;47.281826601079494;8.612733422252322
HI;Hinwil;22.54311;8503130;47.30005695036496;8.839719894409953
HOSA;Hochdorf Schonau;12.87;8502042;47.164569323416835;8.298733635090635
HRD;Hard Kaferberg (Abzw);1.19544;8503038;47.391528528692255;8.511446508511616
HRK;Harkingen Post;47.44768;8500232;47.32161417357507;7.818459754184846
HUCH;Hunenberg Chamleten;44.855;8502306;47.169159420183846;8.449908537945834
HUEB;Hubeli LU;88.44952;8515404;47.08450899073625;8.278758712216232
IM;Immensee;0.25695;8505003;47.09161865910385;8.46267203624508
INKV;Wanzwil (Abzw);70.59943;8516770;47.195489686886766;7.664704354672245
JON;Jonction (Geneve);0.9406;8501041;46.20182681641521;6.120856525220543
KAAG;Kaiserstuhl AG;30.19755;8503413;47.56644670040879;8.419162487955326
KAL;Kallnach;91.37025;8504402;47.02552339070353;7.235196475733738
KAU;Kaiseraugst;76.9769;8500300;47.53849572666361;7.724135542431692
KB;Koblenz;48.3789;8500329;47.600338298694254;8.22704969737929
KBGR;Koblenz Grenze;42.68535;8500330;47.60914553050531;8.234261896095722
KE;Kemptthal;20.49486;8503304;47.452838854280564;8.705586248208899
KGD;Kungoldingen;1.668;8502120;47.30214150681235;7.94179667101806
KGO;Kusnacht Goldbach;10.80557;8503141;47.3268567059159;8.575964186861642
KHGR;Kreuzlingen Hafen Grenze;100.88057;8518048;47.65444461478416;9.176939319704674
KI;Kiesen;128.303;8507008;46.81894382308369;7.575501284899161
KLI;Klingnau;38.222;8516176;47.581557221678345;8.250294852855244
KOL;Kollbrunn;8.64454;8506004;47.45832420329373;8.774016935648092
KZW;Kerzers;21.96598;8518338;46.9736615303049;7.1920890031589915
LABA;Lancy-Pont-Rouge;63.784;8516281;46.18985911331502;6.125127795666099
LANG;Langacher (Spw);17.83407;8502129;47.43750092637978;8.333084494450038
LD;Le Landeron;87.71714;8504225;47.05663638586615;7.066335333782948
LECH;Lechelles;35.47849;8504137;46.8284597332873;7.011627004942881
LGV;Lugano Vedeggio;178.537;8505345;46.02005169245087;8.917701834475181
LIT;Luzern Littau;89.17591;8508219;47.05306432009226;8.25711396709042
LNTW;Heimbach (Spw);0.0;8509013;47.04821326212028;8.298899339692394
LOC;Le Locle;0.0;8504316;47.05786104193193;6.746153276317333
LOCF;Le Locle-Frontiere;39.58;8504319;47.05021754114547;6.716942210700736
LONA;Lonay-Preverenges;9.9985;8515336;46.52361246493201;6.521015278801605
LONB;Lonay-Preverenges;9.7108;8515337;46.52480868959968;6.524339327578446
LOP;Locarno;172.00866;8515410;46.17246335641074;8.800480230575971
LOSI;Losinger (embr);3.528;8501438;46.243178339189186;6.982484903442376
LPN;Laupen BE;6.456;8504194;46.901292463367334;7.2420152396568875
LQ;Landquart;0.0;8509002;46.96744042835521;9.554044692079533
LSE;Lausanne;0.519;8515338;46.51419671251871;6.6344397881272865
LSTN;Liestal;13.83314;8515272;47.48788225620893;7.726230955921419
LTO;Lausanne-Triage;10.65066;8518430;46.524156667348116;6.523572184242272
LTS;Lausanne-Triage;11.47521;8501143;46.524982489956976;6.533994250118594
LTY;Lutry;5.073;8501122;46.50378676835819;6.690609436558635
LU;Luchsingen-Hatzingen;78.69079;8503236;46.965070692237894;9.039022486840029
LUET;Lutisburg;10.034;8506204;47.38482629654433;9.071100494646764
